name;description;long;lat;idquartier;largeur;longueur;adresse
kml_664;"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>OBJECTID</th> <td>273</td> </tr><tr bgcolor=""""> <th>NOM_VOIE</th> <td>Hippolyte Lucas (rue)</td> </tr><tr bgcolor=""#E3E3F3""> <th>ADRESSE</th> <td>dev";-1.67137134502054;48.1096233371531;;2;5.8;devant le n°3  -  Hippolyte Lucas (rue)
kml_665;"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>OBJECTID</th> <td>86</td> </tr><tr bgcolor=""""> <th>NOM_VOIE</th> <td>Louis Postel (rue)</td> </tr><tr bgcolor=""#E3E3F3""> <th>ADRESSE</th> <td>au droi";-1.67066970440635;48.111084554064;;1.9;5.2;au droit du n° 6  -  Louis Postel (rue)
kml_666;"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>OBJECTID</th> <td>118</td> </tr><tr bgcolor=""""> <th>NOM_VOIE</th> <td>Marie Alizon (rue)</td> </tr><tr bgcolor=""#E3E3F3""> <th>ADRESSE</th> <td>au dro";-1.67031988110979;48.1074407677077;;1.9;5.3;au droit du n° 3  -  Marie Alizon (rue)
kml_667;"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>OBJECTID</th> <td>387</td> </tr><tr bgcolor=""""> <th>NOM_VOIE</th> <td>Monseigneur Duschesne (rue)</td> </tr><tr bgcolor=""#E3E3F3""> <th>ADRESSE</th> <";-1.66473471523881;48.1059753439019;;2;5.5;au n° 12  -  Monseigneur Duschesne (rue)
kml_668;"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>OBJECTID</th> <td>85</td> </tr><tr bgcolor=""""> <th>NOM_VOIE</th> <td>Paul Bert (rue)</td> </tr><tr bgcolor=""#E3E3F3""> <th>ADRESSE</th> <td>au droit d";-1.66998578462432;48.1106839454611;;1.8;5.8;au droit du n° 13  -  Paul Bert (rue)
kml_669;"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>OBJECTID</th> <td>631</td> </tr><tr bgcolor=""""> <th>NOM_VOIE</th> <td>Pierre Henri Teitgen (rue)</td> </tr><tr bgcolor=""#E3E3F3""> <th>ADRESSE</th> <t";-1.66865664891141;48.1048971563561;;2.3;6;au droit du n°3  -  Pierre Henri Teitgen (rue)
kml_67;"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>OBJECTID</th> <td>472</td> </tr><tr bgcolor=""""> <th>NOM_VOIE</th> <td>René Laënnec (boulevard)</td> </tr><tr bgcolor=""#E3E3F3""> <th>ADRESSE</th> <td>";-1.66596416485064;48.1067349235506;;2;5.4;entre le n° 28 et le n° 30  -  René Laënnec (boulevard)
kml_670;"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>OBJECTID</th> <td>714</td> </tr><tr bgcolor=""""> <th>NOM_VOIE</th> <td>Saint-Hélier (rue)</td> </tr><tr bgcolor=""#E3E3F3""> <th>ADRESSE</th> <td>devant";-1.66698446729454;48.106190764371;;2;5.3;devant le n°71  -  Saint-Hélier (rue)
kml_671;"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>OBJECTID</th> <td>713</td> </tr><tr bgcolor=""""> <th>NOM_VOIE</th> <td>Saint-Hélier (rue)</td> </tr><tr bgcolor=""#E3E3F3""> <th>ADRESSE</th> <td>devant";-1.66772614692025;48.1064100969716;;2;5.3;devant le n°61  -  Saint-Hélier (rue)
kml_672;"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>OBJECTID</th> <td>715</td> </tr><tr bgcolor=""""> <th>NOM_VOIE</th> <td>Saint-Hélier (rue)</td> </tr><tr bgcolor=""#E3E3F3""> <th>ADRESSE</th> <td>devant";-1.67075477228954;48.1070669603554;;3.4;7.2;devant le n°23  -  Saint-Hélier (rue)
kml_673;"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>OBJECTID</th> <td>9</td> </tr><tr bgcolor=""""> <th>NOM_VOIE</th> <td>Saint-Melaine (place)</td> </tr><tr bgcolor=""#E3E3F3""> <th>ADRESSE</th> <td>au dr";-1.67410362922334;48.1149740250944;;3.3;4.6;au droit du n° 4  -  Saint-Melaine (place)
kml_674;"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>OBJECTID</th> <td>375</td> </tr><tr bgcolor=""""> <th>NOM_VOIE</th> <td>Sergent Guihard (rue)</td> </tr><tr bgcolor=""#E3E3F3""> <th>ADRESSE</th> <td>au ";-1.67235194311969;48.1107723731137;;2.5;5.5;au n° 2 - angle Kleber  -  Sergent Guihard (rue)
kml_675;"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>OBJECTID</th> <td>404</td> </tr><tr bgcolor=""""> <th>NOM_VOIE</th> <td>Sergent Guihard (rue)</td> </tr><tr bgcolor=""#E3E3F3""> <th>ADRESSE</th> <td>dev";-1.67215967125012;48.1118852762126;;2;5.5;devant le N° 22  -  Sergent Guihard (rue)
kml_676;"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>OBJECTID</th> <td>496</td> </tr><tr bgcolor=""""> <th>NOM_VOIE</th> <td>Vincennes (rue de)</td> </tr><tr bgcolor=""#E3E3F3""> <th>ADRESSE</th> <td>devant";-1.67451407887636;48.117991571915;;2.8;5;devant le n° 13  -  Vincennes (rue de)
kml_677;"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>OBJECTID</th> <td>732</td> </tr><tr bgcolor=""""> <th>NOM_VOIE</th> <td>Saint-Hélier (rue)</td> </tr><tr bgcolor=""#E3E3F3""> <th>ADRESSE</th> <td>devant";-1.66926722416906;48.1067819942917;;3;5.3;devant le n°41  -  Saint-Hélier (rue)
kml_678;"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>OBJECTID</th> <td>664</td> </tr><tr bgcolor=""""> <th>NOM_VOIE</th> <td>François Mitterrand (mail)</td> </tr><tr bgcolor=""#E3E3F3""> <th>ADRESSE</th> <t";-1.69074191918142;48.1091669779515;;4;5;Parking central en rive sud - 3 groupes de 2 places  -  François Mitterrand (mail)
kml_679;"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>OBJECTID</th> <td>613</td> </tr><tr bgcolor=""""> <th>NOM_VOIE</th> <td>Geoffroy de Pontblanc (allée)</td> </tr><tr bgcolor=""#E3E3F3""> <th>ADRESSE</th>";-1.69505747643722;48.1093447972781;;2;5.5;au n° 15  -  Geoffroy de Pontblanc (allée)
